breed,food_type,protein_requirement,common_diseases,vaccination_schedule,feeding_frequency,special_notes
Labrador Retriever,High-quality kibble + lean meat,22-26%,Hip Dysplasia;Obesity;Ear Infections,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Needs daily exercise
German Shepherd,High-protein working dog diet,24-28%,Hip Dysplasia;Bloat;Degenerative Myelopathy,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Joint supplements recommended
Golden Retriever,Balanced kibble + Omega-3,22-26%,Cancer;Hip Dysplasia;Skin Allergies,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Monitor weight carefully
Bulldog,Low-fat kibble,20-24%,Breathing Issues;Skin Infection;Joint Problems,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Avoid overheating
Poodle,High-quality small breed diet,22-28%,Ear Infections;Hip Dysplasia;Addison’s Disease,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Regular grooming needed
Beagle,Balanced dry kibble,22-26%,Obesity;Epilepsy;Hypothyroidism,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Highly food motivated
Rottweiler,Large breed high-protein diet,24-28%,Hip Dysplasia;Heart Issues;Cancer,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Slow growth diet as puppy
Dachshund,Small breed diet,22-25%,Intervertebral Disc Disease;Obesity,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Avoid jumping
Siberian Husky,High-energy working dog food,24-28%,Hip Dysplasia;Eye Disorders,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Needs high activity
Boxer,High-quality protein diet,22-26%,Cancer;Heart Disease;Hip Dysplasia,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Monitor heart health
Shih Tzu,Small breed premium kibble,20-24%,Eye Problems;Dental Issues,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Daily eye cleaning
Doberman Pinscher,High-protein diet,24-28%,Cardiomyopathy;Hip Dysplasia,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Heart check annually
Chihuahua,Small breed high-calorie food,20-24%,Dental Issues;Luxating Patella,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",3 small meals/day,Avoid overfeeding
Great Dane,Large breed puppy formula,22-26%,Bloat;Hip Dysplasia;Heart Disease,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Slow feeding required
Pomeranian,Small breed kibble,20-24%,Dental Disease;Tracheal Collapse,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Brush teeth regularly
Cocker Spaniel,Premium balanced diet,22-26%,Ear Infections;Eye Disorders,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Regular ear cleaning
Border Collie,High-energy protein diet,24-28%,Epilepsy;Hip Dysplasia,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Needs mental stimulation
Australian Shepherd,Working dog formula,24-28%,Hip Dysplasia;Eye Issues,"6-8w DHPP;12w Booster;16w Rabies;Annual Booster",2 times/day,Highly active
